attribute,type,unit,default,description,status
name,string,n/a,n/a,Unique name,Input (required)
bus0,string,n/a,n/a,Name of first bus (typically higher voltage) to which transformer is attached.,Input (required)
bus1,string,n/a,n/a,Name of second bus (typically lower voltage) to which transformer is attached.,Input (required)
type,string,n/a,n/a,"Name of 2-winding transformer standard type. If this is not an empty string """", then the transformer type impedance parameters are taken from the standard type along with ""num_parallel"". This will override any values set in r, x, g, b, s_nom, tap_ratio, tap_side and phase_shift. If the string is empty, PyPSA will simply read r, x, etc.",Input (optional)
model,string,n/a,t,"Model used for admittance matrix; can be ""t"" or ""pi""; since PyPSA Version 0.8.0 it defaults to ""t"" following physics and DIgSILENT PowerFactory; versions of PyPSA before 0.8.0 and some other power system tools, like MATPOWER, PYPOWER, PSS/SINCAL use the less physical ""pi"" model.", Input (required)
x,float,per unit,0,"Series reactance (per unit, using s_nom as base power); must be non-zero for AC branch in linear power flow. Series impedance :math:`z = r + jx` must be non-zero for the non-linear power flow. Ignored if type defined.",Input (required)
r,float,per unit,0,"Series resistance (per unit, using s_nom as base power); must be non-zero for DC branch in linear power flow. Series impedance :math:`z = r + jx` must be non-zero for the non-linear power flow. Ignored if type defined.",Input (required)
g,float,per unit,0,"Shunt conductivity (per unit, using s_nom as base power). Ignored if type defined.",Input (optional)
b,float,per unit,0,"Shunt susceptance (per unit, using s_nom as base power). Ignored if type defined.",Input (optional)
s_nom,float,MVA,0,Limit of apparent power which can pass through branch.,Input (optional)
s_nom_extendable,boolean,n/a,False,Switch to allow capacity s_nom to be extended in OPF.,Input (optional)
s_nom_min,float,MVA,0,"If s_nom is extendable in OPF, set its minimum value.",Input (optional)
s_nom_max,float,MVA,inf,"If s_nom is extendable in OPF, set its maximum value (e.g. limited by potential).",Input (optional)
s_max_pu,static or series,per unit,1,The maximum allowed absolute flow per unit of s_nom for the OPF.,Input (optional)
capital_cost,float,currency/MVA,0,Capital cost of extending s_nom by 1 MVA.,Input (optional)
num_parallel,float,n/a,1,"When ""type"" is set, this is the number of parallel transformers (can also be fractional). If ""type"" is empty """" this value is ignored.",Input (optional)
tap_ratio,float,per unit,1,Ratio of per unit voltages at each bus for tap changed.  Ignored if type defined.,Input (optional)
tap_side,int,n/a,0,"Defines if tap changer is modelled at the primary 0 side (usually high-voltage) or the secondary 1 side (usually low voltage) (must be 0 or 1, defaults to 0). Ignored if type defined.",Input (optional)
tap_position,int,n/a,0,"If the transformer has a type, determines position relative to the neutral tap position.",Input (optional)
<<<<<<< HEAD
tap_min,int,n/a,-2,Minimum tap position,Input (optional)
tap_max,int,n/a,2,Maximum tap position,Input (optional)
tap_step,float,Percent,2.5,Tap step size in percentage of voltage change,Input (optional)
v_min,float,per unit,0.9,"Minimum allowed voltage in the grid, used when ""ctrl_buses"" are  more than one. ",Input (optional)
v_max,float,per unit,1.02,"Maximum allowed voltage in the grid, used when ""ctrl_buses"" are more than one. ",Input (optional)
